file_dir,smell211,smell_231,smell_232,smell_233,smell_234
ch07_07_qft_freq_manip.csv,0,5,False,"[6, 3, 3, 7, 12]","[1, 1, 2, 1, 13]"
ch02_03_root_not.csv,0,1,False,"[0, 25]",[1]
ch07_01_qft_distinguish.csv,0,2,False,"[6, 6, 3, 3]","[4, 7, 4, 2]"
ch06_01_grover_iterations.csv,0,40,False,"[3, 3, 4, 4, 8]","[4, 3, 2, 1, 3]"
ch07_08_qft_rotating_phases.csv,0,4,False,"[3, 3, 4, 7]","[4, 4, 5, 8]"
ch04_01_basic_teleportation.csv,0,3,True,"[1, 4, 4, 0, 0, 0]","[1, 1, 1]"
ch03_04_swaptest.csv,0,3,False,"[2, 0, 0, 0]",[1]
ch05_03_add_squared.csv,0,8,False,"[5, 6, 4, 9, 3, 10, 2, 7]","[6, 2, 1, 3, 3, 1, 1, 2]"
ch03_06_remote_random.csv,0,2,True,"[3, 1, 0, 0]","[4, 1]"
ch03_01_seperable_qubits.csv,0,2,False,"[0, 0, 0]",[]
ch05_05_conditional_phase.csv,0,15,False,"[5, 5, 2, 5, 5]","[4, 3, 2, 2, 1]"
ch07_05_qft_freq_to_state.csv,0,4,False,"[2, 2, 3, 7]","[2, 1, 2, 1]"
ch02_04_spy_hunter.csv,0,6,True,"[5, 3, 5, 0, 0, 0, 0, 0]","[1, 1, 6]"
ch03_02_entangled_qubits.csv,0,2,False,"[0, 1, 0, 0]","[1, 2]"
ch04_02_teleport_fly.csv,0,90,True,"[12, 12, 124, 12, 12, 12, 17, 19, 149, 168, 168, 168, 24, 168, 24, 24, 24, 24, 0, 197, 0, 0, 0, 0, 197, 198, 200, 202, 204, 206]","[6, 10, 5, 5, 5, 5, 3, 2, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
ch06_02_grover_freq.csv,0,40,False,"[3, 3, 4, 4, 8]","[4, 3, 2, 1, 3]"
ch03_05_custom_cphase.csv,0,2,False,"[2, 1]","[3, 1]"
ch05_01_increment.csv,0,5,False,"[2, 3, 2, 4, 3]","[3, 1, 1, 2, 1]"
ch07_02_qft_signal.csv,0,4,False,"[6, 3, 3, 3]","[4, 4, 4, 4]"
ch03_03_phase_kickback.csv,0,4,False,"[1, 1, 0]","[2, 2, 1]"
ch02_02_random_byte.csv,0,16,False,"[7, 7, 7, 7, 7, 7, 7, 7, 0, 17, 0, 0, 0, 0, 0, 0]","[8, 8, 8, 8, 8, 8, 8, 8]"
ch05_04_conditional_execution.csv,0,7,False,"[5, 5, 3, 5, 5, 5, 5]","[5, 1, 4, 3, 1, 6, 6]"
ch07_04_qft_big_sq_wave.csv,0,8,False,"[28, 21, 15, 10, 7, 7, 7, 7]","[9, 8, 7, 6, 4, 4, 3, 2]"
ch07_03_qft_sq_wave.csv,0,4,False,"[6, 3, 3, 3]","[5, 3, 3, 2]"
ch07_06_qft_prepare_state.csv,0,4,False,"[2, 2, 4, 7]","[1, 3, 5, 4]"
ch05_06_cnot_logic.csv,0,3,True,"[6, 2, 2, 3, 0, 9, 0, 18, 0]","[7, 1, 1]"
ch02_01_random_bit.csv,0,2,False,"[0, 0]",[1]
ch06_03_grover_multi.csv,0,50,False,"[6, 5, 4, 4, 8]","[4, 3, 2, 1, 5]"
ch05_02_quantum_add.csv,0,8,False,"[5, 6, 4, 8, 3, 10, 2, 6]","[6, 2, 1, 3, 3, 1, 1, 2]"
