origin,name,path,num_qubits,num_clbits,num_ops
qiskit,grover,qiskit-terra/qiskit/algorithms/amplitude_amplifiers/grover.py,2,0,21
qiskit,ae,qiskit-terra/qiskit/algorithms/amplitude_estimators/ae.py,6,5,868
qiskit,fae,qiskit-terra/qiskit/algorithms/amplitude_estimators/fae.py,2,2,33
qiskit,iae,qiskit-terra/qiskit/algorithms/amplitude_estimators/iae.py,1,1,43
qiskit,mlae,qiskit-terra/qiskit/algorithms/amplitude_estimators/mlae.py,1,1,131
qiskit,vqd,qiskit-terra/qiskit/algorithms/eigen_solvers/vqd.py,2,0,5
qiskit,shor,qiskit-terra/qiskit/algorithms/factorizers/shor.py,18,8,17887
qiskit,hhl,qiskit-terra/qiskit/algorithms/linear_solvers/hhl.py,2,0,4
qiskit,qaoa,qiskit-terra/qiskit/algorithms/minimum_eigen_solvers/qaoa.py,2,0,3
qiskit,vqe,qiskit-terra/qiskit/algorithms/minimum_eigen_solvers/vqe.py,2,0,5
qiskit,ipe,qiskit-terra/qiskit/algorithms/phase_estimators/ipe.py,1,0,1
qiskit,phase_estimation,qiskit-terra/qiskit/algorithms/phase_estimators/phase_estimation.py,1,0,1
qiskit,qsvc,qiskit-machine-learning/qiskit_machine_learning/algorithms/classifiers/qsvc.py,2,0,10
qiskit,vqc,qiskit-machine-learning/qiskit_machine_learning/algorithms/classifiers/vqc.py,2,0,13
qiskit,qgan,qiskit-machine-learning/qiskit_machine_learning/algorithms/distribution_learners/qgan/qgan.py,2,0,4
qiskit,qeom,qiskit-nature/qiskit_nature/algorithms/excited_states_solvers/qeom.py,4,0,50
qiskit,adapt_vqe,qiskit-nature/qiskit_nature/algorithms/ground_state_solvers/adapt_vqe.py,4,0,128
oreilly-qc,ch02_01_random_bit,oreilly-qc.github.io/samples/Qiskit/ch02_01_random_bit.py,1,1,3
oreilly-qc,ch02_02_random_byte,oreilly-qc.github.io/samples/Qiskit/ch02_02_random_byte.py,8,8,3
oreilly-qc,ch02_03_root_not,oreilly-qc.github.io/samples/Qiskit/ch02_03_root_not.py,1,1,9
oreilly-qc,ch02_04_spy_hunter,oreilly-qc.github.io/samples/Qiskit/ch02_04_spy_hunter.py,3,5,27
oreilly-qc,ch03_01_seperable_qubits,oreilly-qc.github.io/samples/Qiskit/ch03_01_seperable_qubits.py,3,0,1
oreilly-qc,ch03_02_entangled_qubits,oreilly-qc.github.io/samples/Qiskit/ch03_02_entangled_qubits.py,2,2,3
oreilly-qc,ch03_03_phase_kickback,oreilly-qc.github.io/samples/Qiskit/ch03_03_phase_kickback.py,3,0,10
oreilly-qc,ch03_04_swaptest,oreilly-qc.github.io/samples/Qiskit/ch03_04_swaptest.py,3,1,15
oreilly-qc,ch03_05_custom_cphase,oreilly-qc.github.io/samples/Qiskit/ch03_05_custom_cphase.py,2,0,11
oreilly-qc,ch03_06_remote_random,oreilly-qc.github.io/samples/Qiskit/ch03_06_remote_random.py,2,2,8
oreilly-qc,ch04_01_basic_teleportation,oreilly-qc.github.io/samples/Qiskit/ch04_01_basic_teleportation.py,3,3,18
oreilly-qc,ch04_02_teleport_fly,oreilly-qc.github.io/samples/Qiskit/ch04_02_teleport_fly.py,18,12,461
oreilly-qc,ch05_01_increment,oreilly-qc.github.io/samples/Qiskit/ch05_01_increment.py,5,0,85
oreilly-qc,ch05_02_quantum_add,oreilly-qc.github.io/samples/Qiskit/ch05_02_quantum_add.py,8,0,110
oreilly-qc,ch05_03_add_squared,oreilly-qc.github.io/samples/Qiskit/ch05_03_add_squared.py,8,0,214
oreilly-qc,ch05_04_conditional_execution,oreilly-qc.github.io/samples/Qiskit/ch05_04_conditional_execution.py,7,0,72
oreilly-qc,ch05_05_conditional_phase,oreilly-qc.github.io/samples/Qiskit/ch05_05_conditional_phase.py,5,0,45
oreilly-qc,ch05_06_cnot_logic,oreilly-qc.github.io/samples/Qiskit/ch05_06_cnot_logic.py,3,6,22
oreilly-qc,ch06_01_grover_iterations,oreilly-qc.github.io/samples/Qiskit/ch06_01_grover_iterations.py,5,0,253
oreilly-qc,ch06_02_grover_freq,oreilly-qc.github.io/samples/Qiskit/ch06_02_grover_freq.py,5,0,253
oreilly-qc,ch06_03_grover_multi,oreilly-qc.github.io/samples/Qiskit/ch06_03_grover_multi.py,5,0,616
oreilly-qc,ch07_01_qft_distinguish,oreilly-qc.github.io/samples/Qiskit/ch07_01_qft_distinguish.py,4,0,25
oreilly-qc,ch07_02_qft_signal,oreilly-qc.github.io/samples/Qiskit/ch07_02_qft_signal.py,4,0,27
oreilly-qc,ch07_03_qft_sq_wave,oreilly-qc.github.io/samples/Qiskit/ch07_03_qft_sq_wave.py,4,0,27
oreilly-qc,ch07_04_qft_big_sq_wave,oreilly-qc.github.io/samples/Qiskit/ch07_04_qft_big_sq_wave.py,8,0,59
oreilly-qc,ch07_05_qft_freq_to_state,oreilly-qc.github.io/samples/Qiskit/ch07_05_qft_freq_to_state.py,4,0,26
oreilly-qc,ch07_06_qft_prepare_state,oreilly-qc.github.io/samples/Qiskit/ch07_06_qft_prepare_state.py,4,0,31
oreilly-qc,ch07_07_qft_freq_manip,oreilly-qc.github.io/samples/Qiskit/ch07_07_qft_freq_manip.py,5,0,118
oreilly-qc,ch07_08_qft_rotating_phases,oreilly-qc.github.io/samples/Qiskit/ch07_08_qft_rotating_phases.py,4,0,9
