project_name,project_clone_url,version,language
PennyLane,https://github.com/PennyLaneAI/pennylane.git,v0.19.1,Py
ProjectQ,https://github.com/ProjectQ-Framework/ProjectQ.git,v0.7.0,Py C++
OpenQL Framework,https://github.com/QE-Lab/OpenQL.git,0.10.0,C++ Py
Qiskit Aer,https://github.com/Qiskit/qiskit-aer.git,0.9.1,C++ Py
Qiskit Ignis,https://github.com/Qiskit/qiskit-ignis.git,0.7.0,Py
Qiskit Terra,https://github.com/Qiskit/qiskit-terra.git,0.19.1,Py
Tequila,https://github.com/tequilahub/tequila.git,v1.6.2,Py
Amazon Braket Python SDK,https://github.com/aws/amazon-braket-sdk-python.git,v1.11.1,Py
Dwawe-System,https://github.com/dwavesystems/dwave-system.git,1.10.0,Py
XACC,https://github.com/eclipse/xacc.git,a7559218df4810d3fc5a029514ad99fc8eb6431d,C++ C Py
QDK Libraries,https://github.com/microsoft/QuantumLibraries.git,release/v0.21.2112,Q# C#
QDK Q# Compiler,https://github.com/microsoft/qsharp-compiler.git,release/v0.21.2112,C# F# Q#
QDK Q# Runtime,https://github.com/microsoft/qsharp-runtime.git,release/v0.21.2112,C# C++ Q#
Cirq,https://github.com/quantumlib/Cirq.git,v0.13.1,Py
Qualcs,https://github.com/qulacs/qulacs.git,v0.3.0,C++ C
Pyquil,https://github.com/rigetti/pyquil.git,v3.1.0-rc.4,Py
mitiq,https://github.com/unitaryfund/mitiq.git,v0.11.1,Py
Strawberry Fields,https://github.com/XanaduAI/strawberryfields.git,v0.20.0,Py
